,ds,y,trajet_trajet_personnel,luminosite_Nuit sans éclairage public ou non allumé,luminosite_Crépuscule ou aube,type_collision_Deux véhicules – par l’arrière,type_collision_Deux véhicules - frontale,nom_dep_Bas_Rhin,nom_dep_Val_d_Oise,nom_dep_Ain,nom_dep_Yonne,region_Provence_Aples_Côte_d_Azur,vitesse_maximale_autorisee_80,heure
0,2019-01-01,16.0,160.0,86.0,5.0,26.0,43.0,4.0,0.0,1.0,2.0,13.0,48.0,7.0
1,2019-01-02,12.0,147.0,76.0,14.0,44.0,62.0,7.0,15.0,3.0,2.0,32.0,62.0,14.0
2,2019-01-03,6.0,99.0,44.0,21.0,54.0,32.0,2.0,6.0,3.0,0.0,41.0,51.0,15.0
3,2019-01-04,9.0,100.0,21.0,12.0,49.0,30.0,6.0,8.0,0.0,3.0,35.0,40.0,13.0
4,2019-01-05,14.0,201.0,29.0,22.0,25.0,43.0,8.0,7.0,1.0,0.0,33.0,72.0,15.0
5,2019-01-06,18.0,247.0,31.0,47.0,63.0,43.0,9.0,6.0,4.0,0.0,36.0,104.0,14.0
6,2019-01-07,8.0,165.0,4.0,13.0,69.0,47.0,2.0,2.0,2.0,3.0,33.0,71.0,13.0
7,2019-01-08,8.0,143.0,18.0,13.0,46.0,44.0,4.0,1.0,0.0,3.0,23.0,72.0,16.0
8,2019-01-09,17.0,199.0,53.0,21.0,34.0,49.0,2.0,6.0,1.0,0.0,22.0,74.0,14.0
9,2019-01-10,2.0,126.0,30.0,15.0,63.0,19.0,9.0,7.0,0.0,2.0,15.0,36.0,16.0
10,2019-01-11,12.0,191.0,71.0,32.0,41.0,35.0,3.0,5.0,7.0,8.0,41.0,68.0,13.0
11,2019-01-12,6.0,162.0,83.0,17.0,44.0,44.0,1.0,5.0,6.0,0.0,34.0,35.0,13.0
12,2019-01-13,11.0,144.0,91.0,7.0,39.0,32.0,3.0,2.0,4.0,3.0,39.0,58.0,16.0
13,2019-01-14,4.0,114.0,63.0,20.0,37.0,20.0,7.0,2.0,0.0,0.0,35.0,42.0,14.0
14,2019-01-15,11.0,127.0,39.0,42.0,36.0,21.0,0.0,2.0,5.0,7.0,38.0,47.0,15.0
15,2019-01-16,5.0,117.0,23.0,37.0,36.0,24.0,4.0,3.0,0.0,0.0,45.0,30.0,13.0
16,2019-01-17,11.0,103.0,54.0,24.0,53.0,15.0,3.0,5.0,0.0,0.0,42.0,45.0,14.0
17,2019-01-18,11.0,174.0,76.0,43.0,46.0,57.0,10.0,8.0,6.0,3.0,58.0,53.0,14.0
18,2019-01-19,12.0,179.0,80.0,24.0,40.0,28.0,9.0,6.0,0.0,1.0,27.0,43.0,15.0
19,2019-01-20,7.0,128.0,49.0,5.0,33.0,25.0,0.0,2.0,0.0,3.0,12.0,39.0,15.0
20,2019-01-21,5.0,95.0,37.0,62.0,74.0,19.0,1.0,8.0,2.0,0.0,26.0,39.0,13.0
21,2019-01-22,8.0,91.0,39.0,36.0,27.0,37.0,0.0,2.0,1.0,0.0,28.0,35.0,11.0
22,2019-01-23,4.0,87.0,29.0,30.0,20.0,37.0,0.0,3.0,2.0,2.0,35.0,45.0,14.0
23,2019-01-24,7.0,106.0,44.0,37.0,34.0,29.0,0.0,2.0,0.0,0.0,35.0,38.0,14.5
24,2019-01-25,8.0,115.0,50.0,32.0,54.0,51.0,4.0,2.0,0.0,0.0,42.0,41.0,15.0
25,2019-01-26,12.0,193.0,73.0,10.0,62.0,35.0,3.0,6.0,3.0,0.0,21.0,63.0,16.0
26,2019-01-27,11.0,122.0,58.0,8.0,27.0,32.0,0.0,6.0,3.0,0.0,29.0,28.0,14.5
27,2019-01-28,9.0,87.0,42.0,21.0,27.0,27.0,2.0,0.0,6.0,0.0,50.0,43.0,12.0
28,2019-01-29,5.0,88.0,35.0,26.0,36.0,30.0,3.0,3.0,7.0,2.0,27.0,26.0,13.0
29,2019-01-30,13.0,119.0,51.0,27.0,32.0,36.0,8.0,3.0,0.0,2.0,28.0,41.0,14.0
30,2019-01-31,7.0,101.0,31.0,31.0,25.0,16.0,2.0,5.0,4.0,2.0,33.0,34.0,14.0
31,2019-02-01,9.0,104.0,28.0,21.0,20.0,27.0,2.0,3.0,0.0,3.0,32.0,45.0,15.0
32,2019-02-02,14.0,161.0,72.0,5.0,33.0,35.0,4.0,4.0,0.0,3.0,37.0,56.0,12.0
33,2019-02-03,10.0,155.0,31.0,6.0,25.0,38.0,2.0,8.0,3.0,0.0,25.0,44.0,15.0
34,2019-02-04,8.0,119.0,22.0,21.0,54.0,37.0,4.0,4.0,3.0,2.0,34.0,47.0,14.0
35,2019-02-05,10.0,119.0,16.0,20.0,44.0,21.0,7.0,1.0,6.0,0.0,43.0,41.0,13.0
36,2019-02-06,15.0,243.0,31.0,19.0,30.0,65.0,3.0,10.0,5.0,6.0,37.0,93.0,14.5
37,2019-02-07,11.0,145.0,8.0,12.0,65.0,44.0,10.0,4.0,2.0,2.0,36.0,64.0,14.0
38,2019-02-08,9.0,219.0,31.0,10.0,66.0,59.0,12.0,0.0,5.0,0.0,46.0,83.0,15.0
39,2019-02-09,5.0,129.0,10.0,7.0,43.0,36.0,2.0,8.0,3.0,0.0,25.0,44.0,14.0
40,2019-02-10,4.0,131.0,48.0,28.0,47.0,46.0,0.0,6.0,2.0,0.0,48.0,56.0,16.0
41,2019-02-11,13.0,203.0,74.0,15.0,32.0,50.0,2.0,6.0,0.0,0.0,37.0,79.0,13.0
42,2019-02-12,15.0,111.0,65.0,38.0,70.0,36.0,5.0,3.0,1.0,2.0,39.0,40.0,15.0
43,2019-02-13,7.0,123.0,38.0,10.0,44.0,24.0,7.0,4.0,6.0,0.0,26.0,55.0,14.0
44,2019-02-14,7.0,136.0,36.0,20.0,51.0,49.0,2.0,2.0,6.0,2.0,30.0,54.0,15.0
45,2019-02-15,12.0,217.0,70.0,41.0,52.0,42.0,11.0,5.0,5.0,2.0,25.0,76.0,15.0
46,2019-02-16,23.0,250.0,85.0,36.0,61.0,32.0,2.0,8.0,2.0,2.0,52.0,74.0,14.0
47,2019-02-17,14.0,216.0,44.0,35.0,33.0,29.0,0.0,0.0,1.0,0.0,32.0,62.0,15.0
48,2019-02-18,12.0,113.0,27.0,10.0,52.0,16.0,0.0,5.0,0.0,0.0,38.0,50.0,14.0
49,2019-02-19,3.0,88.0,22.0,16.0,38.0,12.0,5.0,3.0,0.0,2.0,38.0,30.0,14.0
50,2019-02-20,10.0,104.0,33.0,25.0,37.0,32.0,10.0,1.0,1.0,0.0,23.0,52.0,15.0
51,2019-02-21,4.0,114.0,36.0,24.0,48.0,21.0,3.0,2.0,0.0,0.0,28.0,44.0,15.0
52,2019-02-22,10.0,176.0,34.0,39.0,50.0,38.0,3.0,7.0,2.0,2.0,34.0,71.0,16.0
53,2019-02-23,6.0,226.0,37.0,28.0,44.0,60.0,2.0,0.0,5.0,0.0,24.0,58.0,15.0
54,2019-02-24,3.0,176.0,37.0,14.0,38.0,27.0,13.0,3.0,0.0,0.0,17.0,56.0,14.0
55,2019-02-25,15.0,142.0,22.0,19.0,49.0,30.0,8.0,6.0,1.0,2.0,56.0,42.0,14.0
56,2019-02-26,15.0,145.0,18.0,34.0,57.0,32.0,7.0,16.0,4.0,0.0,28.0,44.0,13.0
57,2019-02-27,14.0,109.0,35.0,30.0,35.0,23.0,6.0,0.0,3.0,2.0,44.0,35.0,15.0
58,2019-02-28,3.0,116.0,23.0,27.0,29.0,21.0,5.0,3.0,2.0,2.0,16.0,33.0,14.0
59,2019-03-01,9.0,115.0,52.0,5.0,31.0,15.0,6.0,0.0,5.0,0.0,26.0,37.0,15.0
60,2019-03-02,8.0,142.0,74.0,26.0,54.0,18.0,5.0,0.0,0.0,0.0,23.0,51.0,14.0
61,2019-03-03,13.0,158.0,32.0,29.0,25.0,12.0,6.0,3.0,1.0,0.0,26.0,47.0,14.0
62,2019-03-04,2.0,127.0,11.0,18.0,51.0,48.0,9.0,0.0,0.0,0.0,21.0,32.0,14.0
63,2019-03-05,5.0,140.0,15.0,17.0,69.0,25.0,16.0,4.0,1.0,2.0,27.0,38.0,14.0
64,2019-03-06,7.0,111.0,22.0,13.0,45.0,24.0,4.0,3.0,0.0,5.0,43.0,55.0,14.0
65,2019-03-07,9.0,173.0,16.0,32.0,80.0,48.0,7.0,9.0,4.0,0.0,42.0,39.0,15.0
66,2019-03-08,10.0,200.0,23.0,13.0,46.0,34.0,2.0,2.0,2.0,5.0,30.0,62.0,13.0
67,2019-03-09,11.0,120.0,13.0,23.0,46.0,55.0,4.0,6.0,1.0,1.0,34.0,51.0,14.0
68,2019-03-10,7.0,114.0,25.0,13.0,40.0,33.0,4.0,7.0,2.0,0.0,63.0,44.0,14.5
69,2019-03-11,9.0,183.0,83.0,25.0,63.0,35.0,2.0,10.0,3.0,4.0,16.0,43.0,15.0
70,2019-03-12,4.0,143.0,55.0,51.0,73.0,43.0,7.0,8.0,5.0,0.0,52.0,54.0,13.0
71,2019-03-13,8.0,124.0,8.0,12.0,37.0,23.0,4.0,4.0,4.0,0.0,41.0,36.0,14.0
72,2019-03-14,6.0,114.0,23.0,22.0,26.0,23.0,2.0,0.0,0.0,2.0,38.0,30.0,15.0
73,2019-03-15,6.0,143.0,42.0,25.0,39.0,52.0,2.0,5.0,8.0,0.0,42.0,46.0,15.0
74,2019-03-16,8.0,196.0,38.0,26.0,50.0,26.0,2.0,2.0,7.0,0.0,52.0,70.0,16.0
75,2019-03-17,10.0,159.0,62.0,18.0,34.0,37.0,2.0,2.0,8.0,2.0,29.0,39.0,16.0
76,2019-03-18,5.0,106.0,28.0,11.0,61.0,19.0,4.0,4.0,6.0,0.0,53.0,44.0,14.0
77,2019-03-19,13.0,90.0,31.0,11.0,52.0,42.0,7.0,3.0,0.0,0.0,20.0,45.0,13.0
78,2019-03-20,10.0,112.0,10.0,14.0,41.0,31.0,3.0,0.0,2.0,0.0,40.0,38.0,13.0
79,2019-03-21,7.0,132.0,16.0,24.0,56.0,36.0,5.0,3.0,0.0,0.0,51.0,35.0,15.0
80,2019-03-22,8.0,216.0,51.0,28.0,73.0,39.0,8.0,6.0,0.0,0.0,44.0,53.0,15.0
81,2019-03-23,12.0,257.0,70.0,34.0,58.0,61.0,6.0,0.0,2.0,0.0,76.0,95.0,16.0
82,2019-03-24,7.0,194.0,44.0,16.0,29.0,48.0,8.0,4.0,6.0,0.0,25.0,68.0,15.0
83,2019-03-25,12.0,102.0,9.0,17.0,38.0,40.0,3.0,2.0,0.0,4.0,30.0,42.0,14.0
84,2019-03-26,8.0,132.0,14.0,22.0,37.0,40.0,1.0,6.0,1.0,5.0,30.0,44.0,14.0
85,2019-03-27,12.0,147.0,31.0,20.0,59.0,29.0,14.0,2.0,2.0,0.0,26.0,47.0,14.0
86,2019-03-28,7.0,107.0,27.0,14.0,48.0,30.0,6.0,0.0,10.0,1.0,32.0,57.0,15.0
87,2019-03-29,12.0,175.0,49.0,26.0,67.0,43.0,9.0,11.0,0.0,3.0,39.0,53.0,16.0
88,2019-03-30,14.0,227.0,63.0,14.0,67.0,36.0,4.0,3.0,2.0,0.0,43.0,80.0,15.0
89,2019-03-31,11.0,302.0,75.0,39.0,62.0,53.0,4.0,0.0,7.0,0.0,19.0,101.0,13.5
90,2019-04-01,6.0,129.0,67.0,12.0,36.0,38.0,2.0,12.0,2.0,2.0,33.0,44.0,17.0
91,2019-04-02,12.0,104.0,41.0,33.0,38.0,22.0,0.0,13.0,0.0,0.0,31.0,42.0,14.0
92,2019-04-03,3.0,100.0,21.0,20.0,57.0,15.0,13.0,1.0,2.0,2.0,29.0,22.0,14.0
93,2019-04-04,7.0,139.0,23.0,11.0,57.0,32.0,4.0,5.0,0.0,0.0,59.0,43.0,14.0
94,2019-04-05,10.0,153.0,36.0,20.0,22.0,30.0,5.0,6.0,7.0,0.0,29.0,44.0,14.0
95,2019-04-06,0.0,150.0,4.0,6.0,53.0,21.0,15.0,10.0,4.0,0.0,34.0,46.0,15.0
96,2019-04-07,11.0,192.0,16.0,26.0,75.0,52.0,10.0,11.0,5.0,0.0,38.0,76.0,14.0
97,2019-04-08,10.0,232.0,37.0,4.0,31.0,43.0,6.0,0.0,12.0,2.0,48.0,80.0,14.0
98,2019-04-09,8.0,105.0,21.0,20.0,38.0,38.0,3.0,11.0,1.0,1.0,29.0,41.0,14.0
99,2019-04-10,13.0,169.0,43.0,18.0,63.0,52.0,3.0,5.0,0.0,3.0,71.0,73.0,14.0
100,2019-04-11,8.0,135.0,48.0,48.0,57.0,40.0,3.0,4.0,0.0,1.0,37.0,39.0,12.0
101,2019-04-12,10.0,149.0,68.0,51.0,44.0,72.0,16.0,4.0,0.0,0.0,38.0,61.0,14.0
102,2019-04-13,12.0,248.0,45.0,33.0,26.0,81.0,12.0,1.0,4.0,0.0,74.0,82.0,14.0
103,2019-04-14,9.0,205.0,37.0,8.0,56.0,24.0,2.0,6.0,7.0,4.0,17.0,43.0,15.0
104,2019-04-15,10.0,82.0,10.0,12.0,45.0,19.0,4.0,7.0,7.0,0.0,28.0,22.0,14.0
105,2019-04-16,4.0,118.0,12.0,20.0,37.0,24.0,6.0,4.0,2.0,0.0,17.0,32.0,14.0
106,2019-04-17,10.0,139.0,16.0,14.0,42.0,18.0,0.0,2.0,8.0,0.0,28.0,70.0,15.0
107,2019-04-18,6.0,145.0,19.0,10.0,65.0,41.0,11.0,12.0,3.0,0.0,18.0,49.0,15.0
108,2019-04-19,12.0,213.0,39.0,17.0,74.0,43.0,2.0,1.0,1.0,3.0,40.0,95.0,15.0
109,2019-04-20,20.0,252.0,53.0,19.0,45.0,60.0,13.0,8.0,4.0,0.0,38.0,103.0,14.0
110,2019-04-21,7.0,189.0,36.0,16.0,33.0,25.0,0.0,5.0,0.0,1.0,21.0,45.0,14.0
111,2019-04-22,10.0,193.0,23.0,21.0,30.0,31.0,3.0,8.0,0.0,0.0,26.0,57.0,15.0
112,2019-04-23,7.0,112.0,15.0,12.0,31.0,17.0,9.0,5.0,4.0,1.0,30.0,39.0,14.0
113,2019-04-24,8.0,105.0,9.0,10.0,41.0,21.0,4.0,0.0,2.0,3.0,21.0,41.0,15.0
114,2019-04-25,9.0,107.0,23.0,3.0,56.0,44.0,2.0,4.0,2.0,2.0,35.0,43.0,15.0
115,2019-04-26,2.0,160.0,9.0,21.0,50.0,44.0,17.0,8.0,1.0,0.0,40.0,45.0,14.0
116,2019-04-27,11.0,143.0,36.0,5.0,48.0,23.0,0.0,5.0,7.0,0.0,35.0,50.0,14.0
117,2019-04-28,10.0,182.0,50.0,22.0,34.0,31.0,7.0,3.0,23.0,5.0,36.0,61.0,10.0
118,2019-04-29,11.0,108.0,10.0,11.0,61.0,20.0,4.0,7.0,2.0,3.0,42.0,15.0,14.0
119,2019-04-30,4.0,132.0,9.0,9.0,65.0,26.0,3.0,2.0,5.0,0.0,71.0,34.0,15.0
120,2019-05-01,3.0,155.0,44.0,44.0,36.0,31.0,7.0,0.0,0.0,4.0,28.0,33.0,12.0
121,2019-05-02,8.0,105.0,24.0,23.0,48.0,36.0,4.0,2.0,7.0,0.0,34.0,31.0,15.0
122,2019-05-03,10.0,97.0,27.0,25.0,36.0,26.0,3.0,8.0,4.0,0.0,38.0,35.0,15.0
123,2019-05-04,12.0,167.0,25.0,17.0,76.0,34.0,6.0,2.0,6.0,3.0,43.0,61.0,15.0
124,2019-05-05,11.0,150.0,39.0,31.0,30.0,18.0,1.0,3.0,4.0,0.0,25.0,40.0,12.0
125,2019-05-06,11.0,139.0,8.0,18.0,40.0,52.0,5.0,2.0,1.0,2.0,56.0,63.0,14.0
126,2019-05-07,10.0,194.0,26.0,23.0,60.0,57.0,6.0,1.0,7.0,10.0,35.0,75.0,14.0
127,2019-05-08,12.0,167.0,25.0,14.0,64.0,36.0,2.0,3.0,4.0,2.0,39.0,43.0,14.0
128,2019-05-09,3.0,115.0,22.0,14.0,59.0,35.0,8.0,6.0,0.0,4.0,42.0,45.0,13.0
129,2019-05-10,11.0,243.0,57.0,25.0,71.0,51.0,10.0,1.0,6.0,4.0,40.0,84.0,14.0
130,2019-05-11,3.0,148.0,59.0,43.0,54.0,19.0,13.0,2.0,7.0,0.0,41.0,59.0,14.0
131,2019-05-12,15.0,103.0,43.0,23.0,34.0,32.0,2.0,7.0,3.0,0.0,27.0,52.0,14.0
132,2019-05-13,6.0,162.0,14.0,25.0,71.0,49.0,2.0,2.0,4.0,0.0,30.0,63.0,15.0
133,2019-05-14,4.0,122.0,14.0,16.0,79.0,48.0,2.0,11.0,4.0,1.0,21.0,44.0,14.0
134,2019-05-15,6.0,130.0,3.0,19.0,75.0,35.0,3.0,2.0,0.0,0.0,29.0,45.0,15.0
135,2019-05-16,13.0,104.0,14.0,12.0,53.0,44.0,3.0,8.0,0.0,0.0,46.0,43.0,13.0
136,2019-05-17,10.0,160.0,23.0,26.0,53.0,49.0,6.0,4.0,0.0,0.0,29.0,65.0,15.0
137,2019-05-18,14.0,184.0,26.0,28.0,45.0,54.0,0.0,8.0,2.0,2.0,18.0,51.0,16.0
